Player,Base Price,Type,Cost IN ₹ (CR.),Cost IN $ (K),2023 Squad,Team
Nathan Ellis,Retained,Nan,0.0,0.0,Uncapped,Punjab Kings
Sikandar Raza,Retained,Nan,0.0,0.0,Uncapped,Punjab Kings
Devdutt Padikkal,Traded,Nan,0.0,0.0,Uncapped,Lucknow Super Giants
Shivam Mavi,5000000,Bowler,6.4,768.0,GT,Lucknow Super Giants
M. Siddharth,2000000,Bowler,2.4,288.0,Uncapped,Lucknow Super Giants
David Willey,20000000,All-Rounder,2.0,240.0,RCB,Lucknow Super Giants
Ashton Turner,10000000,Batter,1.0,120.0,Uncapped,Lucknow Super Giants
Mohd. Arshad Khan,2000000,All-Rounder,0.2,24.0,MI,Lucknow Super Giants
Arshin Kulkarni,2000000,All-Rounder,0.2,24.0,Uncapped,Lucknow Super Giants
KL Rahul,Retained,Nan,0.0,0.0,Uncapped,Lucknow Super Giants
Quinton de Kock,Retained,Nan,0.0,0.0,Uncapped,Lucknow Super Giants
Nicholas Pooran,Retained,Nan,0.0,0.0,Uncapped,Lucknow Super Giants
Ayush Badoni,Retained,Nan,0.0,0.0,Uncapped,Lucknow Super Giants
Kyle Mayers,Retained,Nan,0.0,0.0,Uncapped,Lucknow Super Giants
Marcus Stoinis,Retained,Nan,0.0,0.0,Uncapped,Lucknow Super Giants
Deepak Hooda,Retained,Nan,0.0,0.0,Uncapped,Lucknow Super Giants
Ravi Bishnoi,Retained,Nan,0.0,0.0,Uncapped,Lucknow Super Giants
Naveen-ul-Haq,Retained,Nan,0.0,0.0,Uncapped,Lucknow Super Giants
Krunal Pandya,Retained,Nan,0.0,0.0,Uncapped,Lucknow Super Giants
Yudhvir Singh,Retained,Nan,0.0,0.0,Uncapped,Lucknow Super Giants
Prerak Mankad,Retained,Nan,0.0,0.0,Uncapped,Lucknow Super Giants
Yash Thakur,Retained,Nan,0.0,0.0,Uncapped,Lucknow Super Giants
Amit Mishra,Retained,Nan,0.0,0.0,Uncapped,Lucknow Super Giants
Mark Wood,Retained,Nan,0.0,0.0,Uncapped,Lucknow Super Giants
Mayank Yadav,Retained,Nan,0.0,0.0,Uncapped,Lucknow Super Giants
Mohsin Khan,Retained,Nan,0.0,0.0,Uncapped,Lucknow Super Giants
Hardik Pandya,Traded,Nan,0.0,0.0,Uncapped,Mumbai Indians
Romario Shepherd,Traded,Nan,0.0,0.0,Uncapped,Mumbai Indians
Gerald Coetzee,20000000,All-Rounder,5.0,600.0,Uncapped,Mumbai Indians
Nuwan Thushara,5000000,Bowler,4.8,576.0,Uncapped,Mumbai Indians
Mohammad Nabi,15000000,All-Rounder,1.5,180.0,Uncapped,Mumbai Indians
Shreyas Gopal,2000000,Bowler,0.2,24.0,Uncapped,Mumbai Indians
Naman Dhir,2000000,All-Rounder,0.2,24.0,Uncapped,Mumbai Indians
Anshul Kamboj,2000000,All-Rounder,0.2,24.0,Uncapped,Mumbai Indians
Shivalik Sharma,2000000,All-Rounder,0.2,24.0,Uncapped,Mumbai Indians
Dilshan Madushanka,5000000,Bowler,4.6,0.0,Uncapped,Mumbai Indians
Rohit Sharma,Retained,Nan,0.0,0.0,Uncapped,Mumbai Indians
Dewald Brevis,Retained,Nan,0.0,0.0,Uncapped,Mumbai Indians
Suryakumar Yadav,Retained,Nan,0.0,0.0,Uncapped,Mumbai Indians
Ishan Kishan,Retained,Nan,0.0,0.0,Uncapped,Mumbai Indians
Tilak Varma,Retained,Nan,0.0,0.0,Uncapped,Mumbai Indians
Tim David,Retained,Nan,0.0,0.0,Uncapped,Mumbai Indians
Vishnu Vinod,Retained,Nan,0.0,0.0,Uncapped,Mumbai Indians
Arjun Tendulkar,Retained,Nan,0.0,0.0,Uncapped,Mumbai Indians
Cameron Green,Traded,Nan,0.0,0.0,Uncapped,Mumbai Indians
Shams Mulani,Retained,Nan,0.0,0.0,Uncapped,Mumbai Indians
Nehal Wadhera,Retained,Nan,0.0,0.0,Uncapped,Mumbai Indians
Jasprit Bumrah,Retained,Nan,0.0,0.0,Uncapped,Mumbai Indians
Kumar Kartikeya,Retained,Nan,0.0,0.0,Uncapped,Mumbai Indians
Piyush Chawla,Retained,Nan,0.0,0.0,Uncapped,Mumbai Indians
Akash Madhwal,Retained,Nan,0.0,0.0,Uncapped,Mumbai Indians
Jason Behrendorff,Retained,Nan,0.0,0.0,Uncapped,Mumbai Indians
Mayank Dagar,Traded,Nan,0.0,0.0,Uncapped,Royal Challengers Bengaluru
Cameron Green,Traded,Nan,0.0,0.0,Uncapped,Royal Challengers Bengaluru
Alzarri Joseph,10000000,Bowler,11.5,1380.0,GT,Royal Challengers Bengaluru
Yash Dayal,2000000,Bowler,5.0,600.0,GT,Royal Challengers Bengaluru
Lockie Ferguson,20000000,Bowler,2.0,240.0,KKR,Royal Challengers Bengaluru
Tom Curran,15000000,All-Rounder,1.5,180.0,Uncapped,Royal Challengers Bengaluru
Saurav Chuahan,2000000,Batter,0.2,24.0,Uncapped,Royal Challengers Bengaluru
Swapnil Singh,2000000,All-Rounder,0.2,24.0,LSG,Royal Challengers Bengaluru
Faf du Plessis,Retained,Nan,0.0,0.0,Uncapped,Royal Challengers Bengaluru
Glenn Maxwell,Retained,Nan,0.0,0.0,Uncapped,Royal Challengers Bengaluru
Virat Kohli,Retained,Nan,0.0,0.0,Uncapped,Royal Challengers Bengaluru
Rajat Patidar,Retained,Nan,0.0,0.0,Uncapped,Royal Challengers Bengaluru
Anuj Rawat,Retained,Nan,0.0,0.0,Uncapped,Royal Challengers Bengaluru
Dinesh Karthik,Retained,Nan,0.0,0.0,Uncapped,Royal Challengers Bengaluru
Suyash Prabhudessai,Retained,Nan,0.0,0.0,Uncapped,Royal Challengers Bengaluru
