POS,Player,Ov,Runs,Wkts,Dots,Econ,SR,Against,Venue,Match Date,Year
103,Sreenath Aravind,4,23,1,10,5.75,24.0,MI,M. Chinnaswamy Stadium,2016-05-11,2016
104,Ravichandran Ashwin,4,23,0,9,5.75,0.0,DC,ACA-VDCA Stadium,2016-05-17,2016
105,Moises Henriques,4,23,0,10,5.75,0.0,MI,Rajiv Gandhi Intl. Cricket Stadium,2016-04-18,2016
106,Marcus Stoinis,4,23,0,9,5.75,0.0,GL,Saurashtra Cricket Association Stadium,2016-05-01,2016
107,Ashish Nehra,4,23,0,13,5.75,0.0,GL,Rajiv Gandhi Intl. Cricket Stadium,2016-05-06,2016
108,Zaheer Khan,3,21,3,9,6.0,7.0,KKR,Arun Jaitley Stadium,2016-04-30,2016
109,Shane Watson,4,24,3,12,6.0,8.0,RPS,M. Chinnaswamy Stadium,2016-05-07,2016
110,Tim Southee,4,24,3,10,6.0,8.0,SRH,Rajiv Gandhi Intl. Cricket Stadium,2016-04-18,2016
111,Imran Tahir,4,24,3,7,6.0,8.0,GL,Arun Jaitley Stadium,2016-04-27,2016
112,Pravin Tambe,2,12,2,6,6.0,6.0,MI,Wankhede Stadium,2016-04-16,2016
113,Praveen Kumar,4,24,2,15,6.0,12.0,MI,Green Park,2016-05-21,2016
114,Amit Mishra,4,24,2,7,6.0,12.0,MI,Arun Jaitley Stadium,2016-04-23,2016
115,Andre Russell,4,24,1,11,6.0,24.0,RCB,M. Chinnaswamy Stadium,2016-05-02,2016
116,Piyush Chawla,3,18,1,8,6.0,18.0,PBKS,IS Bindra Stadium,2016-04-19,2016
117,Chris Morris,2,12,1,7,6.0,12.0,RPS,ACA-VDCA Stadium,2016-05-17,2016
118,Mustafizur Rahman,4,24,1,11,6.0,24.0,DC,Shaheed Veer Narayan Singh International Cricket Stadium,2016-05-20,2016
119,Shreyas Gopal,3,18,0,4,6.0,0.0,RPS,Wankhede Stadium,2016-04-09,2016
120,Shakib Al Hasan,3,18,0,5,6.0,0.0,SRH,Rajiv Gandhi Intl. Cricket Stadium,2016-04-16,2016
121,Praveen Kumar,2,12,0,6,6.0,0.0,RPS,Saurashtra Cricket Association Stadium,2016-04-14,2016
122,Axar Patel,4,24,0,7,6.0,0.0,KKR,Eden Gardens,2016-05-04,2016
123,Praveen Kumar,2,12,0,5,6.0,0.0,KKR,Green Park,2016-05-19,2016
124,Dwayne Smith,2,12,0,4,6.0,0.0,DC,Saurashtra Cricket Association Stadium,2016-05-03,2016
125,Praveen Kumar,3,18,0,9,6.0,0.0,MI,Wankhede Stadium,2016-04-16,2016
126,Mitchell McClenaghan,4,25,2,8,6.25,12.0,KKR,Eden Gardens,2016-04-13,2016
127,Shane Watson,4,25,2,10,6.25,12.0,DC,M. Chinnaswamy Stadium,2016-04-17,2016
128,Nathan Coulter-Nile,4,25,2,9,6.25,12.0,SRH,Rajiv Gandhi Intl. Cricket Stadium,2016-05-12,2016
129,Harbhajan Singh,4,25,1,5,6.25,24.0,RPS,Maharashtra Cricket Association's International Stadium,2016-05-01,2016
130,Krunal Pandya,4,25,0,3,6.25,0.0,DC,Arun Jaitley Stadium,2016-04-23,2016
131,Tim Southee,4,25,0,11,6.25,0.0,RCB,Wankhede Stadium,2016-04-20,2016
132,Jayant Yadav,4,25,0,8,6.25,0.0,RPS,Arun Jaitley Stadium,2016-05-05,2016
133,Bhuvneshwar Kumar,4,25,0,9,6.25,0.0,RCB,M. Chinnaswamy Stadium,2016-05-29,2016
134,Praveen Kumar,4,25,0,7,6.25,0.0,PBKS,IS Bindra Stadium,2016-04-11,2016
135,Sandeep Sharma,4,25,0,9,6.25,0.0,KKR,Eden Gardens,2016-05-04,2016
136,Shivil Kaushik,4,25,0,9,6.25,0.0,SRH,Rajiv Gandhi Intl. Cricket Stadium,2016-05-06,2016
137,Axar Patel,3,19,2,6,6.33,9.0,KKR,IS Bindra Stadium,2016-04-19,2016
138,Moises Henriques,3,19,2,9,6.33,9.0,DC,Rajiv Gandhi Intl. Cricket Stadium,2016-05-12,2016
139,Amit Mishra,3,19,2,7,6.33,9.0,SRH,Rajiv Gandhi Intl. Cricket Stadium,2016-05-12,2016
140,Amit Mishra,3,19,1,4,6.33,18.0,GL,Saurashtra Cricket Association Stadium,2016-05-03,2016
141,Chris Morris,3,19,1,5,6.33,18.0,KKR,Arun Jaitley Stadium,2016-04-30,2016
142,Pawan Negi,3,19,1,4,6.33,18.0,RCB,Shaheed Veer Narayan Singh International Cricket Stadium,2016-05-22,2016
143,Jasprit Bumrah,3,19,0,6,6.33,0.0,SRH,Rajiv Gandhi Intl. Cricket Stadium,2016-04-18,2016
144,Harbhajan Singh,3,19,0,5,6.33,0.0,RCB,M. Chinnaswamy Stadium,2016-05-11,2016
145,Zaheer Khan,3,19,0,10,6.33,0.0,RPS,ACA-VDCA Stadium,2016-05-17,2016
146,Jasprit Bumrah,4,26,3,6,6.5,8.0,PBKS,IS Bindra Stadium,2016-04-25,2016
147,Andre Russell,4,26,3,11,6.5,8.0,DC,Arun Jaitley Stadium,2016-04-30,2016
148,Sunil Narine,4,26,3,11,6.5,8.0,SRH,Eden Gardens,2016-05-22,2016
149,Mustafizur Rahman,4,26,2,11,6.5,12.0,RCB,M. Chinnaswamy Stadium,2016-04-12,2016
150,Imran Tahir,4,26,2,9,6.5,12.0,RPS,Arun Jaitley Stadium,2016-05-05,2016
1,Varun Aaron,2,3,2,9,1.5,6.0,DC,IS Bindra Stadium,2017-04-30,2017
2,Lockie Ferguson,4,7,2,17,1.75,12.0,RCB,Maharashtra Cricket Association's International Stadium,2017-04-29,2017
3,Samuel Badree,4,9,4,16,2.25,6.0,MI,M. Chinnaswamy Stadium,2017-04-14,2017
4,Jasprit Bumrah,3,7,3,14,2.33,6.0,KKR,M. Chinnaswamy Stadium,2017-05-19,2017
5,Lasith Malinga,2,5,2,9,2.5,6.0,DC,Arun Jaitley Stadium,2017-05-06,2017
6,Karn Sharma,3,11,3,13,3.0,7.33,DC,Arun Jaitley Stadium,2017-05-06,2017
7,Chris Woakes,2,6,3,10,3.0,4.0,RCB,Eden Gardens,2017-04-23,2017
8,Andrew Tye,4,12,3,12,3.0,8.0,RCB,M. Chinnaswamy Stadium,2017-04-27,2017
9,Axar Patel,4,12,1,13,3.0,24.0,RCB,Holkar Cricket Stadium,2017-04-10,2017
10,Moises Henriques,2,6,1,7,3.0,12.0,PBKS,Rajiv Gandhi Intl. Cricket Stadium,2017-04-17,2017
11,Glenn Maxwell,4,12,1,15,3.0,24.0,DC,IS Bindra Stadium,2017-04-30,2017
12,Mohammad Nabi,4,13,1,15,3.25,24.0,MI,Rajiv Gandhi Intl. Cricket Stadium,2017-05-08,2017
13,Shahbaz Nadeem,4,13,1,12,3.25,24.0,RCB,M. Chinnaswamy Stadium,2017-04-08,2017
14,Washington Sundar,4,13,0,15,3.25,0.0,MI,Rajiv Gandhi Intl. Cricket Stadium,2017-05-21,2017
15,Ben Stokes,3,10,0,12,3.33,0.0,PBKS,Maharashtra Cricket Association's International Stadium,2017-05-14,2017
16,Krunal Pandya,4,14,3,16,3.5,8.0,GL,Saurashtra Cricket Association Stadium,2017-04-29,2017
17,Washington Sundar,2,7,1,5,3.5,12.0,RCB,Maharashtra Cricket Association's International Stadium,2017-04-29,2017
18,Nathu Singh,2,7,1,7,3.5,12.0,PBKS,Saurashtra Cricket Association Stadium,2017-04-23,2017
19,Shardul Thakur,2,7,0,6,3.5,0.0,MI,Rajiv Gandhi Intl. Cricket Stadium,2017-05-21,2017
20,T Natarajan,2,7,0,9,3.5,0.0,DC,IS Bindra Stadium,2017-04-30,2017
21,Axar Patel,3,11,3,7,3.66,6.0,RCB,M. Chinnaswamy Stadium,2017-05-05,2017
22,Amit Mishra,3,11,3,10,3.66,6.0,RPS,Maharashtra Cricket Association's International Stadium,2017-04-11,2017
23,Karn Sharma,4,16,4,11,4.0,6.0,KKR,M. Chinnaswamy Stadium,2017-05-19,2017
24,Washington Sundar,4,16,3,13,4.0,8.0,MI,Wankhede Stadium,2017-05-16,2017
25,Yuzvendra Chahal,4,16,3,10,4.0,8.0,KKR,Eden Gardens,2017-04-23,2017
26,Jaydev Unadkat,3,12,2,14,4.0,9.0,PBKS,Maharashtra Cricket Association's International Stadium,2017-05-14,2017
27,Shane Watson,4,16,1,11,4.0,24.0,DC,Arun Jaitley Stadium,2017-05-14,2017
28,Rashid Khan,4,16,1,12,4.0,24.0,PBKS,IS Bindra Stadium,2017-04-28,2017
29,Pawan Negi,3,12,1,6,4.0,18.0,RPS,M. Chinnaswamy Stadium,2017-04-16,2017
30,Ankit Soni,4,16,1,13,4.0,24.0,MI,Saurashtra Cricket Association Stadium,2017-04-29,2017
31,Glenn Maxwell,2,8,1,4,4.0,12.0,MI,Wankhede Stadium,2017-05-11,2017
32,Ankit Soni,4,16,0,12,4.0,0.0,RPS,Maharashtra Cricket Association's International Stadium,2017-05-01,2017
33,Nathu Singh,2,8,0,6,4.0,0.0,RCB,M. Chinnaswamy Stadium,2017-04-27,2017
34,Andrew Tye,4,17,5,10,4.25,4.8,RPS,Saurashtra Cricket Association Stadium,2017-04-14,2017
35,Pawan Negi,4,17,2,9,4.25,12.0,MI,Wankhede Stadium,2017-05-01,2017
36,Aniket Choudhary,4,17,2,13,4.25,12.0,PBKS,M. Chinnaswamy Stadium,2017-05-05,2017
37,Rashid Khan,4,17,1,10,4.25,24.0,RPS,Maharashtra Cricket Association's International Stadium,2017-04-22,2017
38,Ben Stokes,4,18,3,11,4.5,8.0,RCB,M. Chinnaswamy Stadium,2017-04-16,2017
39,Chris Woakes,4,18,3,13,4.5,8.0,RPS,Eden Gardens,2017-05-03,2017
40,Imran Tahir,4,18,3,12,4.5,8.0,RCB,Maharashtra Cricket Association's International Stadium,2017-04-29,2017
41,Amit Mishra,4,18,2,13,4.5,12.0,MI,Wankhede Stadium,2017-04-22,2017
42,Rahul Tewatia,4,18,2,8,4.5,12.0,KKR,IS Bindra Stadium,2017-05-09,2017
43,Pawan Negi,4,18,1,12,4.5,24.0,RPS,Maharashtra Cricket Association's International Stadium,2017-04-29,2017
44,Rashid Khan,4,18,1,8,4.5,24.0,RPS,Rajiv Gandhi Intl. Cricket Stadium,2017-05-06,2017
45,Sunil Narine,4,18,1,10,4.5,24.0,SRH,Eden Gardens,2017-04-15,2017
46,Hardik Pandya,2,9,1,3,4.5,12.0,RCB,M. Chinnaswamy Stadium,2017-04-14,2017
47,Karn Sharma,4,18,0,12,4.5,0.0,RPS,Rajiv Gandhi Intl. Cricket Stadium,2017-05-21,2017
48,Rajat Bhatia,3,14,2,5,4.66,9.0,MI,Maharashtra Cricket Association's International Stadium,2017-04-06,2017
49,Lasith Malinga,3,14,1,8,4.66,18.0,RPS,Wankhede Stadium,2017-05-16,2017
50,Shardul Thakur,3,14,1,9,4.66,18.0,GL,Saurashtra Cricket Association Stadium,2017-04-14,2017
51,Ankit Rajpoot,3,14,1,7,4.66,18.0,MI,Eden Gardens,2017-05-13,2017
52,Samuel Badree,3,14,0,8,4.66,0.0,PBKS,M. Chinnaswamy Stadium,2017-05-05,2017
53,Rahul Tewatia,3,14,0,10,4.66,0.0,RPS,Maharashtra Cricket Association's International Stadium,2017-05-14,2017
54,Bhuvneshwar Kumar,4,19,5,14,4.75,4.8,PBKS,Rajiv Gandhi Intl. Cricket Stadium,2017-04-17,2017
55,Shardul Thakur,4,19,3,16,4.75,8.0,PBKS,Maharashtra Cricket Association's International Stadium,2017-05-14,2017
56,Rashid Khan,4,19,3,11,4.75,8.0,GL,Rajiv Gandhi Intl. Cricket Stadium,2017-04-09,2017
57,Jaydev Unadkat,4,19,2,10,4.75,12.0,MI,Rajiv Gandhi Intl. Cricket Stadium,2017-05-21,2017
58,Rashid Khan,4,19,1,11,4.75,24.0,MI,Wankhede Stadium,2017-04-12,2017
59,Jaydev Unadkat,4,19,1,10,4.75,24.0,RCB,Maharashtra Cricket Association's International Stadium,2017-04-29,2017
60,Sunil Narine,4,19,1,14,4.75,24.0,PBKS,Eden Gardens,2017-04-13,2017
61,Yuzvendra Chahal,4,19,1,10,4.75,24.0,DC,M. Chinnaswamy Stadium,2017-04-08,2017
62,Sandeep Sharma,4,20,4,14,5.0,6.0,DC,IS Bindra Stadium,2017-04-30,2017
63,Nathan Coulter-Nile,4,20,3,10,5.0,8.0,SRH,M. Chinnaswamy Stadium,2017-05-17,2017
64,Pawan Negi,2,10,3,7,5.0,4.0,DC,Arun Jaitley Stadium,2017-05-14,2017
65,Bhuvneshwar Kumar,4,20,3,11,5.0,8.0,KKR,Eden Gardens,2017-04-15,2017
66,Pawan Negi,3,15,2,10,5.0,9.0,KKR,Eden Gardens,2017-04-23,2017
67,Glenn Maxwell,3,15,2,5,5.0,9.0,RCB,M. Chinnaswamy Stadium,2017-05-05,2017
68,Chris Woakes,4,20,2,11,5.0,12.0,PBKS,IS Bindra Stadium,2017-05-09,2017
69,Pat Cummins,4,20,2,9,5.0,12.0,MI,Wankhede Stadium,2017-04-22,2017
70,Dan Christian,2,10,2,4,5.0,6.0,PBKS,Maharashtra Cricket Association's International Stadium,2017-05-14,2017
71,Mitchell McClenaghan,4,20,2,11,5.0,12.0,RCB,M. Chinnaswamy Stadium,2017-04-14,2017
72,Dan Christian,4,20,1,10,5.0,24.0,SRH,Maharashtra Cricket Association's International Stadium,2017-04-22,2017
73,Harbhajan Singh,4,20,1,7,5.0,24.0,RPS,Wankhede Stadium,2017-04-24,2017
74,Dwayne Smith,2,10,1,6,5.0,12.0,RPS,Saurashtra Cricket Association Stadium,2017-04-14,2017
75,Nathan Coulter-Nile,3,15,1,6,5.0,18.0,MI,M. Chinnaswamy Stadium,2017-05-19,2017
76,Sunil Narine,4,20,1,8,5.0,24.0,DC,Arun Jaitley Stadium,2017-04-17,2017
77,James Faulkner,3,15,1,4,5.0,18.0,RCB,M. Chinnaswamy Stadium,2017-04-27,2017
78,Umesh Yadav,3,15,1,11,5.0,18.0,RCB,Eden Gardens,2017-04-23,2017
79,Sunil Narine,4,20,0,13,5.0,0.0,SRH,M. Chinnaswamy Stadium,2017-05-17,2017
80,Chris Morris,4,21,3,16,5.25,8.0,RCB,M. Chinnaswamy Stadium,2017-04-08,2017
81,Bhuvneshwar Kumar,4,21,3,11,5.25,8.0,MI,Wankhede Stadium,2017-04-12,2017
82,Ben Stokes,4,21,2,8,5.25,12.0,MI,Wankhede Stadium,2017-04-24,2017
83,Pat Cummins,4,21,2,9,5.25,12.0,RCB,Arun Jaitley Stadium,2017-05-14,2017
84,Yuzvendra Chahal,4,21,2,12,5.25,12.0,PBKS,M. Chinnaswamy Stadium,2017-05-05,2017
85,Varun Aaron,4,21,2,11,5.25,12.0,RCB,Holkar Cricket Stadium,2017-04-10,2017
86,Jasprit Bumrah,4,21,2,11,5.25,12.0,DC,Wankhede Stadium,2017-04-22,2017
87,Umesh Yadav,4,21,2,12,5.25,12.0,SRH,M. Chinnaswamy Stadium,2017-05-17,2017
88,Bhuvneshwar Kumar,4,21,2,8,5.25,12.0,GL,Rajiv Gandhi Intl. Cricket Stadium,2017-04-09,2017
89,Pawan Negi,4,21,1,17,5.25,24.0,GL,Saurashtra Cricket Association Stadium,2017-04-18,2017
90,Shane Watson,4,21,1,12,5.25,24.0,DC,M. Chinnaswamy Stadium,2017-04-08,2017
91,Krunal Pandya,4,21,1,8,5.25,24.0,RCB,M. Chinnaswamy Stadium,2017-04-14,2017
92,Lasith Malinga,4,21,0,11,5.25,0.0,RPS,Rajiv Gandhi Intl. Cricket Stadium,2017-05-21,2017
93,Sreenath Aravind,4,21,0,10,5.25,0.0,MI,M. Chinnaswamy Stadium,2017-04-14,2017
94,Sunil Narine,4,21,0,13,5.25,0.0,MI,M. Chinnaswamy Stadium,2017-05-19,2017
95,Moises Henriques,2,15,0,7,5.29,0.0,RPS,Rajiv Gandhi Intl. Cricket Stadium,2017-05-06,2017
96,Amit Mishra,3,16,1,9,5.33,18.0,PBKS,Arun Jaitley Stadium,2017-04-15,2017
97,Sandeep Sharma,4,22,3,15,5.5,8.0,RCB,M. Chinnaswamy Stadium,2017-05-05,2017
98,Nathan Coulter-Nile,4,22,3,12,5.5,8.0,DC,Arun Jaitley Stadium,2017-04-17,2017
99,Harbhajan Singh,4,22,3,15,5.5,8.0,DC,Arun Jaitley Stadium,2017-05-06,2017
100,Hardik Pandya,4,22,2,9,5.5,12.0,KKR,Eden Gardens,2017-05-13,2017
101,Axar Patel,4,22,2,12,5.5,12.0,DC,IS Bindra Stadium,2017-04-30,2017
102,Praveen Kumar,4,22,2,13,5.5,12.0,SRH,Green Park,2017-05-13,2017
103,Sunil Narine,4,22,1,12,5.5,24.0,MI,Wankhede Stadium,2017-04-09,2017
104,Yuzvendra Chahal,4,22,1,5,5.5,24.0,SRH,Rajiv Gandhi Intl. Cricket Stadium,2017-04-05,2017
105,Rashid Khan,4,22,1,11,5.5,24.0,MI,Rajiv Gandhi Intl. Cricket Stadium,2017-05-08,2017
106,Suresh Raina,2,11,1,4,5.5,12.0,KKR,Eden Gardens,2017-04-21,2017
107,Harbhajan Singh,4,22,1,9,5.5,24.0,GL,Wankhede Stadium,2017-04-16,2017
108,Rashid Khan,2,11,0,5,5.5,0.0,KKR,M. Chinnaswamy Stadium,2017-05-17,2017
109,Krunal Pandya,4,22,0,9,5.5,0.0,RPS,Wankhede Stadium,2017-05-16,2017
110,Mohammad Nabi,3,17,0,8,5.66,0.0,GL,Green Park,2017-05-13,2017
111,Adam Zampa,3,22,2,8,5.73,11.5,PBKS,Maharashtra Cricket Association's International Stadium,2017-05-14,2017
112,Chris Morris,4,23,3,8,5.75,8.0,PBKS,Arun Jaitley Stadium,2017-04-15,2017
113,Harbhajan Singh,4,23,2,14,5.75,12.0,SRH,Wankhede Stadium,2017-04-12,2017
114,Pat Cummins,4,23,2,9,5.75,12.0,PBKS,Arun Jaitley Stadium,2017-04-15,2017
115,Harbhajan Singh,4,23,1,11,5.75,24.0,GL,Saurashtra Cricket Association Stadium,2017-04-29,2017
116,Avesh Khan,4,23,1,11,5.75,24.0,DC,Arun Jaitley Stadium,2017-05-14,2017
117,Kuldeep Yadav,4,23,1,12,5.75,24.0,SRH,Eden Gardens,2017-04-15,2017
118,Amit Mishra,4,23,1,9,5.75,24.0,SRH,Arun Jaitley Stadium,2017-05-02,2017
119,Shahbaz Nadeem,4,23,1,10,5.75,24.0,RPS,Maharashtra Cricket Association's International Stadium,2017-04-11,2017
120,Umesh Yadav,4,23,1,10,5.75,24.0,RPS,Eden Gardens,2017-05-03,2017
121,Harbhajan Singh,4,23,0,8,5.75,0.0,SRH,Rajiv Gandhi Intl. Cricket Stadium,2017-05-08,2017
122,Ishant Sharma,4,23,0,9,5.75,0.0,SRH,Rajiv Gandhi Intl. Cricket Stadium,2017-04-17,2017
123,Harbhajan Singh,4,23,0,11,5.75,0.0,RCB,M. Chinnaswamy Stadium,2017-04-14,2017
124,Mitchell Johnson,4,23,0,14,5.75,0.0,DC,Wankhede Stadium,2017-04-22,2017
125,Mitchell McClenaghan,4,24,3,11,6.0,8.0,DC,Wankhede Stadium,2017-04-22,2017
126,Jasprit Bumrah,4,24,3,9,6.0,8.0,SRH,Wankhede Stadium,2017-04-12,2017
127,Krunal Pandya,4,24,3,8,6.0,8.0,KKR,Wankhede Stadium,2017-04-09,2017
128,Siddarth Kaul,4,24,3,8,6.0,8.0,MI,Rajiv Gandhi Intl. Cricket Stadium,2017-05-08,2017
129,Kagiso Rabada,3,20,2,8,6.0,10.0,KKR,Eden Gardens,2017-04-28,2017
130,Mitchell McClenaghan,4,24,2,12,6.0,12.0,GL,Wankhede Stadium,2017-04-16,2017
131,KC Cariappa,4,24,2,8,6.0,12.0,GL,Saurashtra Cricket Association Stadium,2017-04-23,2017
132,Mohit Sharma,4,24,2,8,6.0,12.0,RCB,M. Chinnaswamy Stadium,2017-05-05,2017
133,Jaydev Unadkat,4,24,1,10,6.0,24.0,MI,Wankhede Stadium,2017-05-16,2017
134,Dhawal Kulkarni,4,24,1,9,6.0,24.0,PBKS,IS Bindra Stadium,2017-05-07,2017
135,Jasprit Bumrah,4,24,1,9,6.0,24.0,PBKS,Wankhede Stadium,2017-05-11,2017
136,Shahbaz Nadeem,2,12,1,4,6.0,12.0,RCB,Arun Jaitley Stadium,2017-05-14,2017
137,Ben Stokes,4,24,1,9,6.0,24.0,KKR,Eden Gardens,2017-05-03,2017
138,Imran Tahir,4,24,1,11,6.0,24.0,SRH,Rajiv Gandhi Intl. Cricket Stadium,2017-05-06,2017
139,Imran Tahir,4,24,1,7,6.0,24.0,DC,Maharashtra Cricket Association's International Stadium,2017-04-11,2017
140,Krunal Pandya,3,18,0,4,6.0,0.0,GL,Wankhede Stadium,2017-04-16,2017
141,Sandeep Sharma,2,12,0,5,6.0,0.0,RPS,Maharashtra Cricket Association's International Stadium,2017-05-14,2017
142,Harbhajan Singh,2,12,0,4,6.0,0.0,PBKS,Holkar Cricket Stadium,2017-04-20,2017
143,Rashid Khan,4,24,0,7,6.0,0.0,DC,Arun Jaitley Stadium,2017-05-02,2017
144,Washington Sundar,2,12,0,8,6.0,0.0,GL,Maharashtra Cricket Association's International Stadium,2017-05-01,2017
145,Shardul Thakur,2,12,0,6,6.0,0.0,SRH,Rajiv Gandhi Intl. Cricket Stadium,2017-05-06,2017
146,Bipul Sharma,4,24,0,7,6.0,0.0,GL,Rajiv Gandhi Intl. Cricket Stadium,2017-04-09,2017
147,Ben Stokes,3,18,0,8,6.0,0.0,GL,Saurashtra Cricket Association Stadium,2017-04-14,2017
148,Zaheer Khan,4,25,2,7,6.25,12.0,RPS,Arun Jaitley Stadium,2017-05-12,2017
149,Mohit Sharma,4,25,2,10,6.25,12.0,SRH,Rajiv Gandhi Intl. Cricket Stadium,2017-04-17,2017
150,Jaydev Unadkat,4,25,2,12,6.25,12.0,RCB,M. Chinnaswamy Stadium,2017-04-16,2017
1,Lungi Ngidi,4,10,4,16,2.5,6.0,PBKS,Maharashtra Cricket Association's International Stadium,2018-05-20,2018
2,Rashid Khan,4,11,2,14,2.75,12.0,CSK,Wankhede Stadium,2018-05-22,2018
3,Rashid Khan,4,11,2,16,2.75,12.0,MI,Wankhede Stadium,2018-04-24,2018
4,Yuzvendra Chahal,2,6,1,6,3.0,12.0,PBKS,Holkar Cricket Stadium,2018-05-14,2018
5,Sandeep Sharma,3,9,1,14,3.0,18.0,MI,Wankhede Stadium,2018-04-24,2018
6,Krishnappa Gowtham,2,6,1,6,3.0,12.0,RCB,Sawai Mansingh Stadium,2018-05-19,2018
7,Ravindra Jadeja,4,13,1,14,3.25,24.0,SRH,Wankhede Stadium,2018-05-22,2018
8,Rashid Khan,4,13,1,18,3.25,24.0,MI,Rajiv Gandhi Intl. Cricket Stadium,2018-04-12,2018
9,Ankit Rajpoot,4,14,5,17,3.5,4.8,SRH,Rajiv Gandhi Intl. Cricket Stadium,2018-04-26,2018
10,Ish Sodhi,4,14,1,12,3.5,24.0,PBKS,Sawai Mansingh Stadium,2018-05-08,2018
11,Ben Stokes,4,15,3,14,3.75,8.0,KKR,Eden Gardens,2018-05-15,2018
12,Deepak Chahar,4,15,3,17,3.75,8.0,SRH,Rajiv Gandhi Intl. Cricket Stadium,2018-04-22,2018
13,Jasprit Bumrah,4,15,3,11,3.75,8.0,PBKS,Wankhede Stadium,2018-05-16,2018
14,Sandeep Sharma,4,15,1,14,3.75,24.0,RR,Sawai Mansingh Stadium,2018-04-29,2018
15,Ish Sodhi,4,15,0,11,3.75,0.0,KKR,Eden Gardens,2018-05-23,2018
16,Krunal Pandya,3,12,2,12,3.78,9.5,KKR,Eden Gardens,2018-05-09,2018
17,Shreyas Gopal,4,16,4,10,4.0,6.0,RCB,Sawai Mansingh Stadium,2018-05-19,2018
18,Andrew Tye,4,16,4,15,4.0,6.0,MI,Wankhede Stadium,2018-05-16,2018
19,Krishnappa Gowtham,3,12,2,10,4.0,9.0,PBKS,Sawai Mansingh Stadium,2018-05-08,2018
20,Jofra Archer,4,16,2,14,4.0,12.0,MI,Wankhede Stadium,2018-05-13,2018
21,Colin de Grandhomme,2,8,1,6,4.0,12.0,PBKS,Holkar Cricket Stadium,2018-05-14,2018
22,Colin de Grandhomme,4,16,1,11,4.0,24.0,CSK,Maharashtra Cricket Association's International Stadium,2018-05-05,2018
23,Deepak Chahar,4,16,1,14,4.0,24.0,SRH,Maharashtra Cricket Association's International Stadium,2018-05-13,2018
24,Liam Plunkett,4,17,3,12,4.25,8.0,PBKS,Arun Jaitley Stadium,2018-04-23,2018
25,Sunil Narine,4,17,2,11,4.25,12.0,SRH,Eden Gardens,2018-04-14,2018
26,Sandeep Sharma,4,17,2,13,4.25,12.0,PBKS,Rajiv Gandhi Intl. Cricket Stadium,2018-04-26,2018
27,Siddarth Kaul,4,17,2,11,4.25,12.0,RR,Rajiv Gandhi Intl. Cricket Stadium,2018-04-09,2018
28,Mujeeb Ur Rahman,4,17,1,11,4.25,24.0,SRH,Rajiv Gandhi Intl. Cricket Stadium,2018-04-26,2018
29,Sunil Narine,4,17,1,9,4.25,24.0,CSK,Chidambaram,2018-04-10,2018
30,Bhuvneshwar Kumar,4,17,0,16,4.25,0.0,CSK,Wankhede Stadium,2018-05-27,2018
31,Andre Russell,3,13,2,8,4.33,9.0,RR,Eden Gardens,2018-05-15,2018
32,Shane Watson,3,13,1,9,4.33,18.0,RR,Maharashtra Cricket Association's International Stadium,2018-04-20,2018
33,Bhuvneshwar Kumar,3,14,1,12,4.42,19.0,CSK,Wankhede Stadium,2018-05-22,2018
34,Ravindra Jadeja,4,18,3,8,4.5,8.0,RCB,Maharashtra Cricket Association's International Stadium,2018-05-05,2018
35,Krishnappa Gowtham,4,18,2,10,4.5,12.0,SRH,Sawai Mansingh Stadium,2018-04-29,2018
36,Kuldeep Yadav,4,18,1,13,4.5,24.0,RR,Eden Gardens,2018-05-23,2018
37,Piyush Chawla,4,18,1,10,4.5,24.0,RR,Sawai Mansingh Stadium,2018-04-18,2018
38,D'Arcy Short,2,9,0,7,4.5,0.0,SRH,Rajiv Gandhi Intl. Cricket Stadium,2018-04-09,2018
39,Lungi Ngidi,3,14,2,10,4.66,9.0,DC,Arun Jaitley Stadium,2018-05-18,2018
40,Deepak Chahar,3,14,1,12,4.66,18.0,MI,Wankhede Stadium,2018-04-07,2018
41,Rashid Khan,4,19,3,12,4.75,8.0,KKR,Eden Gardens,2018-05-25,2018
42,Rashid Khan,4,19,3,11,4.75,8.0,PBKS,Rajiv Gandhi Intl. Cricket Stadium,2018-04-26,2018
43,Amit Mishra,4,19,3,13,4.75,8.0,MI,Arun Jaitley Stadium,2018-05-20,2018
44,Hardik Pandya,4,19,2,13,4.75,12.0,KKR,Wankhede Stadium,2018-05-06,2018
45,Amit Mishra,4,19,2,9,4.75,12.0,SRH,Rajiv Gandhi Intl. Cricket Stadium,2018-05-05,2018
46,Ankit Rajpoot,4,19,2,18,4.75,12.0,CSK,Maharashtra Cricket Association's International Stadium,2018-05-20,2018
47,Ravindra Jadeja,4,19,1,10,4.75,24.0,DC,Arun Jaitley Stadium,2018-05-18,2018
48,Jasprit Bumrah,4,19,1,11,4.75,24.0,PBKS,Holkar Cricket Stadium,2018-05-04,2018
49,Ravichandran Ashwin,4,19,0,8,4.75,0.0,DC,Arun Jaitley Stadium,2018-04-23,2018
50,Mustafizur Rahman,3,18,1,12,4.9,22.0,SRH,Wankhede Stadium,2018-04-24,2018
51,Kuldeep Yadav,4,20,4,8,5.0,6.0,RR,Eden Gardens,2018-05-15,2018
52,Shreyas Gopal,4,20,3,12,5.0,8.0,CSK,Maharashtra Cricket Association's International Stadium,2018-04-20,2018
