POS,Player,Runs,BF,4s,6s,Against,Venue,Match Date,Year
56,Rishabh Pant,51,35,3,2,CSK,Dubai International Stadium,2021-10-10,2021
57,Ruturaj Gaikwad,75,36,12,0,SRH,Arun Jaitley Stadium,2021-04-28,2021
58,Jason Roy,60,36,8,1,RR,Dubai International Stadium,2021-09-27,2021
59,Mayank Agarwal,57,36,6,2,RCB,Sharjah Cricket Stadium,2021-10-03,2021
60,Virat Kohli,53,36,6,1,CSK,Sharjah Cricket Stadium,2021-09-24,2021
61,Mayank Agarwal,99,37,8,4,DC,Narendra Modi Stadium,2021-05-02,2021
62,Nitish Rana,80,37,9,4,SRH,Chidambaram,2021-04-11,2021
63,K.S Bharat,78,37,3,4,DC,Dubai International Stadium,2021-10-08,2021
64,Ruturaj Gaikwad,70,37,5,2,DC,Dubai International Stadium,2021-10-10,2021
65,Manish Pandey,61,37,2,3,KKR,Chidambaram,2021-04-11,2021
66,Quinton de Kock,55,37,4,3,KKR,Zayed Cricket Stadium,2021-09-23,2021
67,Glenn Maxwell,59,38,5,3,SRH,Chidambaram,2021-04-14,2021
68,Venkatesh Iyer,55,38,4,3,DC,Sharjah Cricket Stadium,2021-10-13,2021
69,Jos Buttler,124,39,11,8,SRH,Arun Jaitley Stadium,2021-05-02,2021
70,Sanju Samson,70,39,8,1,DC,Zayed Cricket Stadium,2021-09-25,2021
71,Venkatesh Iyer,67,39,9,1,PBKS,Dubai International Stadium,2021-10-01,2021
72,Rohit Sharma,63,40,5,2,PBKS,Chidambaram,2021-04-23,2021
73,David Miller,62,40,7,2,DC,Wankhede Stadium,2021-04-15,2021
74,Nitish Rana,57,40,6,2,MI,Chidambaram,2021-04-13,2021
75,Shubman Gill,56,40,4,2,RR,Sharjah Cricket Stadium,2021-10-07,2021
76,Ambati Rayudu,55,40,5,2,DC,Dubai International Stadium,2021-10-04,2021
77,Virat Kohli,51,40,3,3,MI,Dubai International Stadium,2021-09-26,2021
78,Shubman Gill,51,40,6,0,CSK,Dubai International Stadium,2021-10-15,2021
79,Saurabh Tiwary,50,40,5,0,CSK,Dubai International Stadium,2021-09-19,2021
80,Faf du Plessis,50,40,5,1,RCB,Wankhede Stadium,2021-04-25,2021
81,Ruturaj Gaikwad,88,41,9,4,MI,Dubai International Stadium,2021-09-19,2021
82,Sanju Samson,82,41,7,3,SRH,Dubai International Stadium,2021-09-27,2021
83,Kane Williamson,51,41,5,1,RR,Dubai International Stadium,2021-09-27,2021
84,Kane Williamson,66,42,8,0,DC,Chidambaram,2021-04-25,2021
85,Ruturaj Gaikwad,101,43,9,5,RR,Zayed Cricket Stadium,2021-10-02,2021
86,KL Rahul,67,43,4,2,KKR,Dubai International Stadium,2021-10-01,2021
87,Shubman Gill,57,44,10,0,SRH,Dubai International Stadium,2021-10-03,2021
88,KL Rahul,61,45,7,2,DC,Wankhede Stadium,2021-04-18,2021
89,Faf du Plessis,76,46,8,2,PBKS,Dubai International Stadium,2021-10-07,2021
90,Rishabh Pant,58,46,6,0,RCB,Narendra Modi Stadium,2021-04-27,2021
91,Jonny Bairstow,63,48,3,3,PBKS,Chidambaram,2021-04-21,2021
92,KL Rahul,60,50,3,3,MI,Chidambaram,2021-04-23,2021
93,David Warner,57,50,3,2,CSK,Arun Jaitley Stadium,2021-04-28,2021
1,Pat Cummins,56,14,4,6,MI,Maharashtra Cricket Association Stadium,2022-04-06,2022
2,Moeen Ali,93,19,13,3,RR,Brabourne - CCI,2022-05-20,2022
3,Liam Livingstone,64,21,7,4,GT,Brabourne - CCI,2022-04-08,2022
4,Rahul Tripathi,71,21,4,6,KKR,Brabourne - CCI,2022-04-15,2022
5,Jonny Bairstow,66,21,4,7,RCB,Brabourne - CCI,2022-05-13,2022
6,Evin Lewis,55,23,6,3,CSK,Brabourne - CCI,2022-03-31,2022
7,Jos Buttler,106,23,10,6,RCB,Narendra Modi Stadium,2022-05-27,2022
8,Jos Buttler,54,23,8,3,GT,DY Patil Stadium,2022-04-14,2022
9,Aaron Finch,58,25,9,2,RR,Brabourne - CCI,2022-04-18,2022
10,Robin Uthappa,50,25,8,1,LSG,Brabourne - CCI,2022-03-31,2022
11,Sanju Samson,55,25,3,5,SRH,Maharashtra Cricket Association Stadium,2022-03-29,2022
12,Dinesh Karthik,66,26,5,5,DC,Wankhede Stadium,2022-04-16,2022
13,Liam Livingstone,60,26,5,4,SRH,DY Patil Stadium,2022-04-17,2022
14,Shivam Dube,57,26,6,3,PBKS,Brabourne - CCI,2022-04-03,2022
15,David Warner,60,26,10,1,PBKS,Brabourne - CCI,2022-04-20,2022
16,Prithvi Shaw,51,27,7,2,KKR,Brabourne - CCI,2022-04-10,2022
17,Andre Russell,70,27,2,8,PBKS,Wankhede Stadium,2022-04-01,2022
18,Quinton De Kock,50,27,4,3,KKR,Maharashtra Cricket Association Stadium,2022-05-07,2022
19,Liam Livingstone,60,27,5,5,CSK,Brabourne - CCI,2022-04-03,2022
20,Devon Conway,87,27,7,5,DC,DY Patil Stadium,2022-05-08,2022
21,Shreyas Iyer,50,28,4,3,LSG,DY Patil Stadium,2022-05-18,2022
22,Ambati Rayudu,78,28,7,6,PBKS,Wankhede Stadium,2022-04-25,2022
23,David Miller,94,28,8,6,CSK,Maharashtra Cricket Association Stadium,2022-04-17,2022
24,Wriddhiman Saha,68,28,11,1,SRH,Wankhede Stadium,2022-04-27,2022
25,Rajat Patidar,112,28,12,7,LSG,Eden Gardens,2022-05-25,2022
26,Tilak Varma,61,28,3,5,RR,DY Patil Stadium,2022-04-02,2022
27,Shubman Gill,96,29,11,1,PBKS,Brabourne - CCI,2022-04-08,2022
28,Nicholas Pooran,62,29,2,6,DC,Brabourne - CCI,2022-05-05,2022
29,Nicholas Pooran,64,29,3,6,CSK,Maharashtra Cricket Association Stadium,2022-05-01,2022
30,Jos Buttler,103,29,9,5,KKR,Brabourne - CCI,2022-04-18,2022
31,Riyan Parag,56,29,3,4,RCB,Maharashtra Cricket Association Stadium,2022-04-26,2022
32,David Warner,66,29,4,5,RCB,Wankhede Stadium,2022-04-16,2022
33,Rajat Patidar,52,29,5,2,GT,Brabourne - CCI,2022-04-30,2022
34,Glenn Maxwell,55,30,7,2,DC,Wankhede Stadium,2022-04-16,2022
35,Prithvi Shaw,61,30,9,2,LSG,DY Patil Stadium,2022-04-07,2022
36,Mayank Agarwal,52,30,6,2,MI,Maharashtra Cricket Association Stadium,2022-04-13,2022
37,Nitish Rana,57,30,3,4,DC,Wankhede Stadium,2022-04-28,2022
38,Shivam Dube,95,30,5,8,RCB,DY Patil Stadium,2022-04-12,2022
39,Rovman Powell,67,30,3,6,SRH,Brabourne - CCI,2022-05-05,2022
40,Devdutt Padikkal,54,31,7,2,DC,Wankhede Stadium,2022-04-22,2022
41,Deepak Hooda,51,31,3,3,SRH,DY Patil Stadium,2022-04-04,2022
42,Aiden Markram,68,31,6,4,KKR,Brabourne - CCI,2022-04-15,2022
43,Shreyas Iyer,85,32,7,4,RR,Brabourne - CCI,2022-04-18,2022
44,Shreyas Iyer,54,32,5,2,DC,Brabourne - CCI,2022-04-10,2022
45,Shubman Gill,84,32,6,4,DC,Maharashtra Cricket Association Stadium,2022-04-02,2022
46,Nitish Rana,54,32,6,2,SRH,Brabourne - CCI,2022-04-15,2022
47,Suryakumar Yadav,68,32,5,6,RCB,Maharashtra Cricket Association Stadium,2022-04-09,2022
48,Jos Buttler,100,32,11,5,MI,DY Patil Stadium,2022-04-02,2022
49,Rahul Tripathi,58,32,6,2,RCB,Wankhede Stadium,2022-05-08,2022
50,Rahul Tripathi,76,32,9,3,MI,Wankhede Stadium,2022-05-17,2022
51,Abhishek Sharma,75,32,5,3,CSK,DY Patil Stadium,2022-04-09,2022
52,Deepak Hooda,52,32,6,1,DC,Wankhede Stadium,2022-05-01,2022
53,Virat Kohli,73,33,8,2,GT,Wankhede Stadium,2022-05-19,2022
54,K L Rahul,103,33,9,5,MI,Brabourne - CCI,2022-04-16,2022
55,Hardik Pandya,87,33,8,4,RR,DY Patil Stadium,2022-04-14,2022
56,Shubman Gill,52,33,6,2,MI,Brabourne - CCI,2022-05-06,2022
57,Ruturaj Gaikwad,99,33,6,6,SRH,Maharashtra Cricket Association Stadium,2022-05-01,2022
58,Robin Uthappa,88,33,4,9,RCB,DY Patil Stadium,2022-04-12,2022
59,Shimron Hetmyer,59,33,1,6,LSG,Wankhede Stadium,2022-04-10,2022
60,Abhishek Sharma,65,33,6,3,GT,Wankhede Stadium,2022-04-27,2022
61,Deepak Hooda,59,33,5,2,RR,Brabourne - CCI,2022-05-15,2022
62,Yashasvi Jaiswal,68,33,9,2,PBKS,Wankhede Stadium,2022-05-07,2022
63,Devon Conway,56,33,6,2,RCB,Maharashtra Cricket Association Stadium,2022-05-04,2022
64,Faf Du Plessis,73,34,8,2,SRH,Wankhede Stadium,2022-05-08,2022
65,Ishan Kishan,81,34,11,2,DC,Brabourne - CCI,2022-03-27,2022
66,Quinton De Kock,61,34,9,0,CSK,Brabourne - CCI,2022-03-31,2022
67,Suryakumar Yadav,52,34,5,2,KKR,Maharashtra Cricket Association Stadium,2022-04-06,2022
68,David Warner,92,34,12,3,SRH,Brabourne - CCI,2022-05-05,2022
69,Jonny Bairstow,56,34,8,1,RR,Wankhede Stadium,2022-05-07,2022
70,Wriddhiman Saha,55,34,6,2,MI,Brabourne - CCI,2022-05-06,2022
71,K L Rahul,77,35,4,5,DC,Wankhede Stadium,2022-05-01,2022
72,David Miller,68,35,3,5,RR,Eden Gardens,2022-05-24,2022
73,Liam Livingstone,70,35,5,4,RCB,Brabourne - CCI,2022-05-13,2022
74,David Warner,61,35,6,2,KKR,Brabourne - CCI,2022-04-10,2022
75,Aiden Markram,56,35,2,3,GT,Wankhede Stadium,2022-04-27,2022
76,Hardik Pandya,67,36,4,2,KKR,DY Patil Stadium,2022-04-23,2022
77,Quinton De Kock,80,36,9,2,DC,DY Patil Stadium,2022-04-07,2022
78,Quinton De Kock,140,36,10,10,KKR,DY Patil Stadium,2022-05-18,2022
79,Suryakumar Yadav,51,36,5,2,RR,DY Patil Stadium,2022-04-30,2022
80,Jos Buttler,116,36,9,9,DC,Wankhede Stadium,2022-04-22,2022
81,Deepak Hooda,55,36,6,2,GT,Wankhede Stadium,2022-03-28,2022
82,Shikhar Dhawan,88,37,9,2,CSK,Wankhede Stadium,2022-04-25,2022
83,Shikhar Dhawan,70,37,5,3,MI,Maharashtra Cricket Association Stadium,2022-04-13,2022
84,K L Rahul,103,37,12,4,MI,Wankhede Stadium,2022-04-24,2022
85,Ravichandran Ashwin,50,37,4,2,DC,DY Patil Stadium,2022-05-11,2022
86,Ruturaj Gaikwad,73,37,5,5,GT,Maharashtra Cricket Association Stadium,2022-04-17,2022
87,Shikhar Dhawan,62,38,8,1,GT,DY Patil Stadium,2022-05-03,2022
88,Mitchell Marsh,89,38,5,7,RR,DY Patil Stadium,2022-05-11,2022
89,MS Dhoni,50,38,7,1,KKR,Wankhede Stadium,2022-03-26,2022
90,Sanju Samson,54,38,7,1,KKR,Wankhede Stadium,2022-05-02,2022
91,Anuj Rawat,66,38,2,6,MI,Maharashtra Cricket Association Stadium,2022-04-09,2022
92,Ayush Badoni,54,38,4,3,GT,Wankhede Stadium,2022-03-28,2022
93,Aiden Markram,57,39,5,2,RR,Maharashtra Cricket Association Stadium,2022-03-29,2022
94,Yashasvi Jaiswal,59,39,8,1,CSK,Brabourne - CCI,2022-05-20,2022
95,Devon Conway,85,39,8,4,SRH,Maharashtra Cricket Association Stadium,2022-05-01,2022
96,K L Rahul,68,40,6,1,SRH,DY Patil Stadium,2022-04-04,2022
97,Mitchell Marsh,63,40,4,3,PBKS,DY Patil Stadium,2022-05-16,2022
98,Faf Du Plessis,96,40,11,2,LSG,DY Patil Stadium,2022-04-19,2022
99,Rajat Patidar,58,40,4,3,RR,Narendra Modi Stadium,2022-05-27,2022
100,K L Rahul,68,41,3,4,KKR,DY Patil Stadium,2022-05-18,2022
101,Faf Du Plessis,88,41,3,7,PBKS,DY Patil Stadium,2022-03-27,2022
102,Ishan Kishan,51,41,5,1,KKR,DY Patil Stadium,2022-05-09,2022
103,Ishan Kishan,54,41,5,1,RR,DY Patil Stadium,2022-04-02,2022
104,David Warner,52,41,5,1,RR,DY Patil Stadium,2022-05-11,2022
105,Venkatesh Iyer,50,41,6,1,MI,Maharashtra Cricket Association Stadium,2022-04-06,2022
106,Hardik Pandya,50,42,4,1,SRH,DY Patil Stadium,2022-04-11,2022
107,Hardik Pandya,62,42,4,3,RCB,Wankhede Stadium,2022-05-19,2022
108,Shubman Gill,63,42,7,0,LSG,Maharashtra Cricket Association Stadium,2022-05-10,2022
109,Kane Williamson,57,42,2,4,GT,DY Patil Stadium,2022-04-11,2022
110,Jos Buttler,89,42,12,2,GT,Eden Gardens,2022-05-24,2022
111,Jos Buttler,70,42,0,6,RCB,Wankhede Stadium,2022-04-05,2022
112,Wriddhiman Saha,67,42,8,1,CSK,Wankhede Stadium,2022-05-15,2022
113,Sai Sudharsan,65,42,5,1,PBKS,DY Patil Stadium,2022-05-03,2022
114,Tilak Varma,51,42,3,2,CSK,DY Patil Stadium,2022-04-21,2022
115,K L Rahul,79,43,3,5,RCB,Eden Gardens,2022-05-25,2022
116,Ruturaj Gaikwad,53,44,4,1,GT,Wankhede Stadium,2022-05-15,2022
117,Virat Kohli,58,45,6,1,GT,Brabourne - CCI,2022-04-30,2022
118,Jos Buttler,67,48,5,4,MI,DY Patil Stadium,2022-04-30,2022
