POS,Player,Ov,Runs,Wkts,Maid,Dots,SR,Against,Venue,Match Date,Year
65,Avesh Khan,4.0,29,2,0,12,12.0,KKR,Arun Jaitley Stadium,2018-04-27,2018
66,Shane Watson,4.0,29,2,0,12,12.0,MI,Wankhede Stadium,2018-04-07,2018
67,Sunil Narine,4.0,29,1,0,12,24.0,RR,Eden Gardens,2018-05-15,2018
68,Mitchell Johnson,4.0,30,1,0,12,24.0,RCB,Eden Gardens,2018-04-08,2018
69,Deepak Chahar,4.0,30,1,0,12,24.0,PBKS,Maharashtra Cricket Association's International Stadium,2018-05-20,2018
70,Mitchell McClenaghan,4.0,31,1,0,12,24.0,PBKS,Holkar Cricket Stadium,2018-05-04,2018
71,Deepak Chahar,4.0,31,1,0,12,24.0,SRH,Wankhede Stadium,2018-05-22,2018
72,Rashid Khan,4.0,31,1,0,12,24.0,RCB,Rajiv Gandhi Intl. Cricket Stadium,2018-05-07,2018
73,Dhawal Kulkarni,4.0,32,2,0,12,12.0,MI,Sawai Mansingh Stadium,2018-04-22,2018
74,Dwayne Bravo,4.0,33,2,1,12,12.0,RCB,M. Chinnaswamy Stadium,2018-04-25,2018
75,Jofra Archer,4.0,33,2,0,12,12.0,KKR,Eden Gardens,2018-05-23,2018
76,Piyush Chawla,4.0,35,2,0,12,12.0,CSK,Eden Gardens,2018-05-03,2018
77,Billy Stanlake,4.0,38,0,0,12,0.0,CSK,Rajiv Gandhi Intl. Cricket Stadium,2018-04-22,2018
78,Jasprit Bumrah,4.0,15,3,0,11,8.0,PBKS,Wankhede Stadium,2018-05-16,2018
79,Ish Sodhi,4.0,15,0,0,11,0.0,KKR,Eden Gardens,2018-05-23,2018
80,Colin de Grandhomme,4.0,16,1,0,11,24.0,CSK,Maharashtra Cricket Association's International Stadium,2018-05-05,2018
81,Sunil Narine,4.0,17,2,0,11,12.0,SRH,Eden Gardens,2018-04-14,2018
82,Siddarth Kaul,4.0,17,2,0,11,12.0,RR,Rajiv Gandhi Intl. Cricket Stadium,2018-04-09,2018
