POS,Player,Runs,BF,SR,4s,6s,Against,Venue,Match Date,Year
28,Jonny Bairstow,18,6,300.0,3,1,MI,Chidambaram,2021-04-17,2021
29,Jason Roy,18,5,360.0,3,1,RR,Dubai International Stadium,2021-09-27,2021
30,KL Rahul,18,5,360.0,1,2,RR,Dubai International Stadium,2021-09-21,2021
31,Faf du Plessis,18,5,360.0,3,1,RR,Wankhede Stadium,2021-04-19,2021
32,Kane Williamson,18,6,300.0,4,0,KKR,Dubai International Stadium,2021-10-03,2021
33,Evin Lewis,18,6,300.0,1,2,RCB,Dubai International Stadium,2021-09-29,2021
34,Glenn Maxwell,17,4,425.0,1,2,SRH,Chidambaram,2021-04-14,2021
35,Sanju Samson,17,5,340.0,2,1,PBKS,Wankhede Stadium,2021-04-12,2021
36,Glenn Maxwell,17,6,283.33,2,1,MI,Dubai International Stadium,2021-09-26,2021
37,Dinesh Karthik,17,5,340.0,2,1,CSK,Zayed Cricket Stadium,2021-09-26,2021
38,Sam Curran,17,4,425.0,1,2,DC,Wankhede Stadium,2021-04-10,2021
39,Shivam Mavi,17,5,340.0,1,2,CSK,Dubai International Stadium,2021-10-15,2021
40,KL Rahul,17,5,340.0,0,2,CSK,Dubai International Stadium,2021-10-07,2021
41,Faf du Plessis,17,4,425.0,1,2,MI,Arun Jaitley Stadium,2021-05-01,2021
42,Ambati Rayudu,17,4,425.0,1,2,MI,Arun Jaitley Stadium,2021-05-01,2021
43,Jos Buttler,17,5,340.0,4,0,PBKS,Wankhede Stadium,2021-04-12,2021
44,Andre Russell,16,5,320.0,1,2,DC,Narendra Modi Stadium,2021-04-29,2021
45,Yashasvi Jaiswal,16,6,266.66,3,0,CSK,Zayed Cricket Stadium,2021-10-02,2021
46,Shimron Hetmyer,16,3,533.33,1,2,PBKS,Narendra Modi Stadium,2021-05-02,2021
47,Suresh Raina,16,5,320.0,0,2,DC,Wankhede Stadium,2021-04-10,2021
48,Marcus Stoinis,16,6,266.66,2,1,PBKS,Wankhede Stadium,2021-04-18,2021
49,Hardik Pandya,16,5,320.0,2,1,PBKS,Zayed Cricket Stadium,2021-09-28,2021
50,Ishan Kishan,16,4,400.0,2,1,SRH,Zayed Cricket Stadium,2021-10-08,2021
51,Shubman Gill,16,5,320.0,1,2,RCB,Chidambaram,2021-04-18,2021
52,Prithvi Shaw,16,5,320.0,4,0,CSK,Dubai International Stadium,2021-10-10,2021
53,Evin Lewis,16,5,320.0,4,0,PBKS,Dubai International Stadium,2021-09-21,2021
54,AB de Villiers,16,6,266.66,2,1,KKR,Chidambaram,2021-04-18,2021
55,Kieron Pollard,16,6,266.66,2,1,CSK,Arun Jaitley Stadium,2021-05-01,2021
56,Mayank Agarwal,16,4,400.0,1,2,RR,Dubai International Stadium,2021-09-21,2021
57,Ruturaj Gaikwad,16,5,320.0,2,1,RR,Zayed Cricket Stadium,2021-10-02,2021
58,Devdutt Padikkal,15,4,375.0,0,2,CSK,Wankhede Stadium,2021-04-25,2021
59,Glenn Maxwell,15,5,300.0,0,2,PBKS,Sharjah Cricket Stadium,2021-10-03,2021
60,Mayank Agarwal,15,4,375.0,2,1,DC,Narendra Modi Stadium,2021-05-02,2021
61,Harshal Patel,15,4,375.0,2,1,PBKS,Narendra Modi Stadium,2021-04-30,2021
62,Krunal Pandya,15,5,300.0,2,1,CSK,Arun Jaitley Stadium,2021-05-01,2021
63,Rohit Sharma,15,6,250.0,3,0,RCB,Dubai International Stadium,2021-09-26,2021
64,Suryakumar Yadav,15,5,300.0,2,1,KKR,Chidambaram,2021-04-13,2021
65,Jonny Bairstow,15,5,300.0,2,1,RR,Arun Jaitley Stadium,2021-05-02,2021
66,Shahrukh Khan,15,5,300.0,2,1,DC,Wankhede Stadium,2021-04-18,2021
67,Jonny Bairstow,15,6,250.0,2,1,KKR,Chidambaram,2021-04-11,2021
68,Kieron Pollard,15,4,375.0,0,2,SRH,Chidambaram,2021-04-17,2021
69,Jason Holder,15,5,300.0,0,2,PBKS,Sharjah Cricket Stadium,2021-09-25,2021
70,Chris Morris,15,6,250.0,0,2,DC,Wankhede Stadium,2021-04-15,2021
71,Glenn Maxwell,15,4,375.0,0,2,PBKS,Sharjah Cricket Stadium,2021-10-03,2021
72,Abdul Samad,15,4,375.0,0,2,KKR,Chidambaram,2021-04-11,2021
73,Faf du Plessis,15,5,300.0,2,1,KKR,Dubai International Stadium,2021-10-15,2021
74,Nitish Rana,15,4,375.0,0,2,DC,Sharjah Cricket Stadium,2021-09-28,2021
75,Moeen Ali,15,4,375.0,2,1,MI,Arun Jaitley Stadium,2021-05-01,2021
76,Vijay Shankar,15,5,300.0,0,2,MI,Chidambaram,2021-04-17,2021
77,Jos Buttler,15,5,300.0,1,1,SRH,Arun Jaitley Stadium,2021-05-02,2021
78,Dinesh Karthik,15,5,300.0,1,1,SRH,Chidambaram,2021-04-11,2021
79,KL Rahul,15,4,375.0,2,1,RCB,Narendra Modi Stadium,2021-04-30,2021
80,Manish Pandey,15,5,300.0,0,2,RR,Arun Jaitley Stadium,2021-05-02,2021
81,Ravindra Jadeja,15,4,375.0,2,1,RR,Zayed Cricket Stadium,2021-10-02,2021
82,Faf du Plessis,15,5,300.0,2,1,RCB,Sharjah Cricket Stadium,2021-09-24,2021
83,KL Rahul,14,4,350.0,0,2,RR,Wankhede Stadium,2021-04-12,2021
84,Shivam Dube,14,5,280.0,0,2,CSK,Zayed Cricket Stadium,2021-10-02,2021
85,Rohit Sharma,14,6,233.33,1,1,RR,Sharjah Cricket Stadium,2021-10-05,2021
86,Venkatesh Iyer,14,4,350.0,2,1,MI,Zayed Cricket Stadium,2021-09-23,2021
87,Jason Roy,14,6,233.33,3,0,RR,Dubai International Stadium,2021-09-27,2021
88,Hardik Pandya,14,4,350.0,0,2,CSK,Arun Jaitley Stadium,2021-05-01,2021
89,Ambati Rayudu,14,4,350.0,0,2,MI,Arun Jaitley Stadium,2021-05-01,2021
90,KL Rahul,14,5,280.0,2,1,CSK,Dubai International Stadium,2021-10-07,2021
91,Mayank Agarwal,14,5,280.0,2,1,DC,Wankhede Stadium,2021-04-18,2021
92,Mayank Agarwal,14,5,280.0,1,1,DC,Narendra Modi Stadium,2021-05-02,2021
93,Ruturaj Gaikwad,14,5,280.0,3,0,SRH,Arun Jaitley Stadium,2021-04-28,2021
94,Rahul Tripathi,14,4,350.0,2,1,SRH,Chidambaram,2021-04-11,2021
95,Prithvi Shaw,14,5,280.0,2,1,PBKS,Narendra Modi Stadium,2021-05-02,2021
96,Quinton de Kock,14,5,280.0,0,2,KKR,Zayed Cricket Stadium,2021-09-23,2021
97,AB de Villiers,14,5,280.0,1,1,MI,Chidambaram,2021-04-09,2021
98,Kieron Pollard,14,5,280.0,1,1,CSK,Arun Jaitley Stadium,2021-05-01,2021
99,Mayank Agarwal,14,5,280.0,3,0,RR,Dubai International Stadium,2021-09-21,2021
100,Chris Morris,14,4,350.0,0,2,DC,Wankhede Stadium,2021-04-15,2021
101,Shubman Gill,14,5,280.0,3,0,RCB,Sharjah Cricket Stadium,2021-10-11,2021
102,Shikhar Dhawan,14,6,233.33,3,0,PBKS,Wankhede Stadium,2021-04-18,2021
103,Rahul Tewatia,14,6,233.33,3,0,KKR,Sharjah Cricket Stadium,2021-10-07,2021
104,Liam Livingstone,14,5,280.0,1,1,PBKS,Dubai International Stadium,2021-09-21,2021
105,Glenn Maxwell,14,5,280.0,1,1,SRH,Zayed Cricket Stadium,2021-10-06,2021
106,Andre Russell,14,6,233.33,2,1,CSK,Zayed Cricket Stadium,2021-09-26,2021
107,Ruturaj Gaikwad,14,4,350.0,0,2,RR,Zayed Cricket Stadium,2021-10-02,2021
108,Anmolpreet Singh,14,6,233.33,2,1,CSK,Dubai International Stadium,2021-09-19,2021
109,Kieron Pollard,14,4,350.0,0,2,CSK,Arun Jaitley Stadium,2021-05-01,2021
