Players,Team,Type,Base,Sold
Devdutt Padikkal,RCB,BAT,2,2.0
Rahul Tripathi,CSK,BAT,0,3.4
David Warner,-,BAT,2,
Ravichandran Ashwin,CSK,AR,2,9.75
Venkatesh Iyer,KKR,AR,2,23.75
Mitchell Marsh,LSG,AR,2,3.4
Glenn Maxwell,PBKS,AR,2,4.2
Harshal Patel,SRH,AR,2,8.0
Rachin Ravindra,CSK,AR,1,4.0
Marcus Stoinis,PBKS,AR,2,11.0
Jonny Bairstow,-,BAT,2,
Quinton de Kock,KKR,BAT,2,3.6
Rahmanullah Gurbaz,KKR,BAT,2,2.0
Ishan Kishan,SRH,BAT,2,11.25
Phil Salt,RCB,BAT,2,11.5
Jitesh Sharma,RCB,BAT,1,11.0
Khaleel Ahmed,CSK,BOWL,2,4.8
Trent Boult,MI,BOWL,2,12.5
Josh Hazlewood,RCB,BOWL,2,12.5
Avesh Khan,LSG,BOWL,2,9.75
Prasidh Krishna,GT,BOWL,2,9.5
T Natarajan,DC,BOWL,2,10.75
Anrich Nortje,KKR,BOWL,2,6.5
Noor Ahmad,CSK,BOWL,2,10.0
Rahul Chahar,SRH,BOWL,1,3.2
Wanindu Hasaranga,RR,BOWL,2,5.25
Waqar Salamkheil,-,BOWL,0,
Maheesh Theekshana,RR,BOWL,2,4.4
Adam Zampa,SRH,BOWL,2,2.4
Yash Dhull,-,BAT,0,
Abhinav Manohar,SRH,BAT,0,3.2
Karun Nair,DC,BAT,0,0.5
Angkrish Raghuvanshi,KKR,BAT,0,3.0
Anmolpreet Singh,-,BAT,0,
Atharva Taide,SRH,BAT,0,0.3
Nehal Wadhera,PBKS,BAT,0,4.2
Harpreet Brar,PBKS,AR,0,1.5
Naman Dhir,MI,AR,0,5.25
Mahipal Lomror,GT,AR,0,1.7
Sameer Rizvi,DC,AR,0,0.95
Abdul Samad,LSG,AR,0,4.2
Vijay Shankar,CSK,AR,0,1.2
Ashutosh Sharma,DC,AR,0,3.8
Nishant Sindhu,GT,AR,0,0.3
Utkarsh Singh,-,AR,0,
Aryan Juyal,LSG,BAT,0,0.3
Kumar Kushagra,GT,BAT,0,0.65
Robin Minz,MI,BAT,0,0.65
Anuj Rawat,GT,BAT,0,0.3
Luvnith Sisodia,KKR,BAT,0,0.3
Vishnu Vinod,PBKS,BAT,0,0.95
Upendra Yadav,-,BAT,0,
Vaibhav Arora,KKR,BOWL,0,1.8
Rasikh Salam,RCB,BOWL,0,6.0
Akash Madhwal,RR,BOWL,0,1.2
Mohit Sharma,DC,BOWL,0,2.2
Simarjeet Singh,SRH,BOWL,0,1.5
Yash Thakur,PBKS,BOWL,0,1.6
Kartik Tyagi,-,BOWL,0,
Vijaykumar Vyshak,PBKS,BOWL,0,1.8
Piyush Chawla,-,BOWL,0,
Shreyas Gopal,CSK,BOWL,0,0.3
Mayank Markande,KKR,BOWL,0,0.3
Suyash Sharma,RCB,BOWL,0,2.6
Karn Sharma,MI,BOWL,0,0.5
Kumar Kartikeya,RR,BOWL,0,0.3
Manav Suthar,GT,BOWL,0,0.3
Mayank Agarawal,-,BAT,1,
Faf du Plessis,DC,BAT,2,2.0
Glenn Phillips,GT,BAT,2,2.0
Rovman Powell,KKR,BAT,1,1.5
Ajinkya Rahane,KKR,BAT,1,1.5
Prithvi Shaw,-,BAT,0,
Kane Williamson,-,BAT,2,
Sam Curran,CSK,AR,2,2.4
Marco Jansen,PBKS,AR,1,7.0
Daryl Mitchell,-,AR,2,
Krunal Pandya,RCB,AR,2,5.75
Nitish Rana,RR,AR,1,4.2
Washington Sundar,GT,AR,2,3.2
Shardul Thakur,-,AR,2,
Srikar Bharat,-,BAT,0,
Alex Carey,-,BAT,1,
Donovan Ferreira,DC,BAT,0,0.75
Shai Hope,-,BAT,1,
Josh Inglis,PBKS,BAT,2,2.6
Ryan Rickelton,MI,BAT,1,1.0
Deepak Chahar,MI,BOWL,2,9.25
Gerald Coetzee,GT,BOWL,1,2.4
Akash Deep,LSG,BOWL,1,8.0
Tushar Deshpande,RR,BOWL,1,6.5
Lockie Ferguson,PBKS,BOWL,2,2.0
Bhuvneshwar Kumar,RCB,BOWL,2,10.75
Mukesh Kumar,DC,BOWL,2,8.0
AM Ghazanfar,MI,BOWL,0,4.8
Akeal Hosein,-,BOWL,1,
Keshav Maharaj,-,BOWL,0,
Mujeeb Ur Rahman,-,BOWL,2,
Adil Rashid,-,BOWL,2,
Vijayakanth Viyaskanth,-,BOWL,0,
Ricky Bhui,-,BAT,0,
Swastik Chikara,RCB,BAT,0,0.3
Aarya Desai,-,BAT,0,
Shubham Dubey,RR,BAT,0,0.8
Madhav Kaushik,-,BAT,0,
Pukhraj Mann,-,BAT,0,
Shaik Rasheed,CSK,BAT,0,0.3
Himmat Singh,LSG,BAT,0,0.3
Mayank Dagar,-,AR,0,
Anshul Kamboj,CSK,AR,0,3.4
Arshad Khan,GT,AR,0,1.3
Darshan Nalkande,DC,AR,0,0.3
Suyash Prabhudessai,-,AR,0,
Anukul Roy,KKR,AR,0,0.4
Swapnil Singh,RCB,AR,0,0.5
Sanvir Singh,-,AR,0,
Aravelly Avanish,-,BAT,0,
Vansh Bedi,CSK,BAT,0,0.55
Saurav Chauhan,-,BAT,0,
Harvik Desai,-,BAT,0,
Tom Kohler-Cadmore,-,BAT,0,
Kunal Singh Rathore,RR,BAT,0,0.3
BR Sharath,-,BAT,0,
Gurnoor Brar,GT,BOWL,0,1.3
Mukesh Choudhary,CSK,BOWL,0,0.3
Sakib Hussain,-,BOWL,0,
Vidwath Kaverappa,-,BOWL,0,
Rajan Kumar,-,BOWL,0,
Sushant Mishra,-,BOWL,0,
Arjun Tendulkar,MI,BOWL,0,0.3
Zeeshan Ansari,SRH,BOWL,0,0.4
Prince Choudhary,-,BOWL,0,
Himanshu Sharma,-,BOWL,0,
Manimaran Siddharth,LSG,BOWL,0,0.75
Digvesh Singh,LSG,BOWL,0,0.3
Prashant Solanki,-,BOWL,0,
Jhathavedh Subramanyan,-,BOWL,0,
Finn Allen,-,BAT,2,
Dewald Brevis,-,BAT,0,
Ben Duckett,-,BAT,2,
Manish Pandey,KKR,BAT,0,0.75
Rilee Rossouw,-,BAT,2,
Sherfane Rutherford,GT,BAT,1,2.6
Ashton Turner,-,BAT,1,
James Vince,-,BAT,2,
Shahbaz Ahmed,LSG,AR,1,2.4
Moeen Ali,KKR,AR,2,2.0
Tim David,RCB,AR,2,3.0
Deepak Hooda,CSK,AR,0,1.7
Will Jacks,MI,AR,2,5.25
Azmatullah Omarzai,PBKS,AR,1,2.4
Sai Kishore,GT,AR,0,2.0
Romario Shepherd,RCB,AR,1,1.5
Tom Banton,-,BAT,2,
Sam Billings,-,BAT,1,
Jordan Cox,-,BAT,1,
Ben McDermott,-,BAT,0,
Kusal Mendis,-,BAT,0,
Kusal Perera,-,BAT,0,
Josh Philippe,-,BAT,0,
Tim Seifert,-,BAT,1,
Nandre Burger,-,BOWL,1,
Spencer Johnson,KKR,BOWL,2,2.8
Umran Malik,KKR,BOWL,0,0.75
Mustafizur Rahman,-,BOWL,2,
Ishant Sharma,GT,BOWL,0,0.75
Nuwan Thushara,RCB,BOWL,0,1.6
Naveen-ul-Haq,-,BOWL,2,
Jaydev Unadkat,SRH,BOWL,1,1.0
Umesh Yadav,-,BOWL,2,
Rishad Hossain,-,BOWL,0,
Zahir Khan,-,BOWL,0,
Nqabayomzi Peter,-,BOWL,0,
Tanveer Sangha,-,BOWL,0,
Tabraiz Shamsi,-,BOWL,2,
Jeffrey Vandersay,-,BOWL,0,
Sachin Baby,SRH,BAT,0,0.3
Priyam Garg,-,BAT,0,
Harnoor Singh,PBKS,BAT,0,0.3
R Smaran,-,BAT,0,
Shashwat Rawat,-,BAT,0,
C Andre Siddarth,CSK,BAT,0,0.3
Avneesh Sudha,-,BAT,0,
Apoorv Wankhade,-,BAT,0,
Yudhvir Singh,RR,AR,0,0.35
Rishi Dhawan,-,AR,0,
Rajvardhan Hangargekar,LSG,AR,0,0.3
Tanush Kotian,-,AR,0,
Arshin Kulkarni,LSG,AR,0,0.3
Shams Mulani,-,AR,0,
Shivam Singh,-,AR,0,
Lalit Yadav,-,AR,0,
Mohammed Azharuddeen,-,BAT,0,
LR Chethan,-,BAT,0,
Aryaman Singh,-,BAT,0,
Urvil Patel,-,BAT,0,
Sanskar Rawat,-,BAT,0,
Bipin Saurabh,-,BAT,0,
